"k" "s" "SR"
0.375 0.02 0.500000685711935
0.3775 0.02 0.500000691027799
0.38 0.02 0.500000696373856
0.3825 0.02 0.500000701750125
0.385 0.02 0.500000707156623
0.3875 0.02 0.500000712593359
0.39 0.02 0.500000718060343
0.3925 0.02 0.500000723557579
0.395 0.02 0.500000729085066
0.3975 0.02 0.500000734642803
0.4 0.02 0.50000074023078
0.4025 0.02 0.500000745848988
0.405 0.02 0.50000075149741
0.4075 0.02 0.500000757176026
0.41 0.02 0.500000762884814
0.4125 0.02 0.500000768623744
0.415 0.02 0.500000774392785
0.4175 0.02 0.500000780191898
0.42 0.02 0.500000786021042
0.4225 0.02 0.500000791880169
0.425 0.02 0.500000797769229
0.4275 0.02 0.500000803688162
0.43 0.02 0.500000809636908
0.4325 0.02 0.500000815615397
0.435 0.02 0.500000821623555
0.4375 0.02 0.500000827661302
0.44 0.02 0.500000833728553
0.4425 0.02 0.500000839825213
0.445 0.02 0.500000845951183
0.4475 0.02 0.500000852106356
0.45 0.02 0.50000085829062
0.4525 0.02 0.50000086450385
0.455 0.02 0.50000087074592
0.4575 0.02 0.500000877016691
0.46 0.02 0.500000883316016
0.4625 0.02 0.500000889643741
0.465 0.02 0.500000895999703
0.4675 0.02 0.500000902383727
0.47 0.02 0.50000090879563
0.4725 0.02 0.500000915235218
0.475 0.02 0.500000921702288
0.4775 0.02 0.500000928196623
0.48 0.02 0.500000934717998
0.4825 0.02 0.500000941266173
0.485 0.02 0.500000947840898
0.4875 0.02 0.500000954441908
0.49 0.02 0.500000961068928
0.4925 0.02 0.500000967721665
0.495 0.02 0.500000974399817
0.4975 0.02 0.500000981103062
0.5 0.02 0.500000987831067
0.0025 0.025 0.500000008155436
0.005 0.025 0.50000001614873
0.0075 0.025 0.500000023985299
0.01 0.025 0.500000031670485
0.0125 0.025 0.500000039209548
0.015 0.025 0.500000046607674
0.0175 0.025 0.500000053869971
0.02 0.025 0.50000006100147
0.0225 0.025 0.500000068007129
0.025 0.025 0.500000074891831
0.0275 0.025 0.500000081660385
0.03 0.025 0.500000088317528
0.0325 0.025 0.500000094867926
0.035 0.025 0.500000101316172
0.0375 0.025 0.50000010766679
0.04 0.025 0.500000113924236
0.0425 0.025 0.500000120092896
0.045 0.025 0.500000126177089
0.0475 0.025 0.500000132181067
0.05 0.025 0.500000138109016
0.0525 0.025 0.50000014396506
0.055 0.025 0.500000149753257
0.0575 0.025 0.500000155477601
0.06 0.025 0.500000161142027
0.0625 0.025 0.500000166750407
0.065 0.025 0.500000172306555
0.0675 0.025 0.500000177814222
0.07 0.025 0.500000183277107
0.0725 0.025 0.500000188698847
0.075 0.025 0.500000194083025
0.0775 0.025 0.50000019943317
0.08 0.025 0.500000204752756
0.0825 0.025 0.500000210045205
0.085 0.025 0.500000215313887
0.0875 0.025 0.50000022056212
0.09 0.025 0.500000225793174
0.0925 0.025 0.500000231010272
0.095 0.025 0.500000236216587
0.0975 0.025 0.500000241415246
0.1 0.025 0.500000246609332
0.1025 0.025 0.500000251801884
0.105 0.025 0.500000256995898
0.1075 0.025 0.500000262194328
0.11 0.025 0.500000267400087
0.1125 0.025 0.500000272616051
