"k" "t" "SR"
0.315 0.015 0.500000000423238
0.3175 0.015 0.500000000422298
0.32 0.015 0.500000000421318
0.3225 0.015 0.500000000420296
0.325 0.015 0.500000000419232
0.3275 0.015 0.500000000418127
0.33 0.015 0.500000000416981
0.3325 0.015 0.500000000415795
0.335 0.015 0.500000000414567
0.3375 0.015 0.500000000413299
0.34 0.015 0.50000000041199
0.3425 0.015 0.500000000410642
0.345 0.015 0.500000000409253
0.3475 0.015 0.500000000407824
0.35 0.015 0.500000000406356
0.3525 0.015 0.500000000404849
0.355 0.015 0.500000000403302
0.3575 0.015 0.500000000401716
0.36 0.015 0.500000000400091
0.3625 0.015 0.500000000398428
0.365 0.015 0.500000000396726
0.3675 0.015 0.500000000394986
0.37 0.015 0.500000000393208
0.3725 0.015 0.500000000391392
0.375 0.015 0.500000000389539
0.3775 0.015 0.500000000387649
0.38 0.015 0.500000000385722
0.3825 0.015 0.500000000383758
0.385 0.015 0.500000000381757
0.3875 0.015 0.500000000379721
0.39 0.015 0.500000000377649
0.3925 0.015 0.50000000037554
0.395 0.015 0.500000000373397
0.3975 0.015 0.500000000371219
0.4 0.015 0.500000000369006
0.4025 0.015 0.500000000366759
0.405 0.015 0.500000000364478
0.4075 0.015 0.500000000362163
0.41 0.015 0.500000000359815
0.4125 0.015 0.500000000357434
0.415 0.015 0.500000000355021
0.4175 0.015 0.500000000352575
0.42 0.015 0.500000000350098
0.4225 0.015 0.500000000347589
0.425 0.015 0.500000000345049
0.4275 0.015 0.500000000342478
0.43 0.015 0.500000000339878
0.4325 0.015 0.500000000337247
0.435 0.015 0.500000000334588
0.4375 0.015 0.500000000331899
0.44 0.015 0.500000000329183
0.4425 0.015 0.500000000326438
0.445 0.015 0.500000000323666
0.4475 0.015 0.500000000320867
0.45 0.015 0.500000000318042
0.4525 0.015 0.500000000315191
0.455 0.015 0.500000000312315
0.4575 0.015 0.500000000309414
0.46 0.015 0.500000000306488
0.4625 0.015 0.500000000303539
0.465 0.015 0.500000000300567
0.4675 0.015 0.500000000297573
0.47 0.015 0.500000000294556
0.4725 0.015 0.500000000291518
0.475 0.015 0.50000000028846
0.4775 0.015 0.500000000285381
0.48 0.015 0.500000000282283
0.4825 0.015 0.500000000279167
0.485 0.015 0.500000000276032
0.4875 0.015 0.50000000027288
0.49 0.015 0.500000000269711
0.4925 0.015 0.500000000266526
0.495 0.015 0.500000000263326
0.4975 0.015 0.500000000260111
0.5 0.015 0.500000000256882
0.0025 0.02 0.500000000012963
