"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y"
155 0.249631487217038 0.248339233469713 0.250337387305008 0.248984519350238 5.99451413841617e-06 0.000670848650362551 1.79835424152485e-05 0.00201254595108765
156 0.249623637118499 0.24830174619128 0.25034532536941 0.248961393303729 6.12946202461894e-06 0.000685845042245997 1.83883860738568e-05 0.00205753512673799
157 0.249615635251664 0.248263454597191 0.250353445425479 0.248937763242173 6.26729888394828e-06 0.000701158071989243 1.88018966518448e-05 0.00210347421596773
158 0.249607479470841 0.248224343207908 0.25036175151995 0.248913619103377 6.40808010757657e-06 0.000716793594373547 1.92242403227297e-05 0.00215038078312064
159 0.249599167637725 0.24818439632438 0.250370247783558 0.248888950664944 6.55186185537851e-06 0.000732757535492659 1.96555855661355e-05 0.00219827260647798
160 0.24959069762368 0.24814359802846 0.250378938432499 0.248863747543532 6.69870105339761e-06 0.000749055891903554 2.00961031601928e-05 0.00224716767571066
161 0.249582067312124 0.248101932183526 0.250387827769889 0.248837999194192 6.84865539056222e-06 0.000765694729676633 2.05459661716866e-05 0.0022970841890299
162 0.249573274601034 0.248059382435286 0.25039692018725 0.248811694909806 7.00178331461793e-06 0.000782680183341457 2.10053499438538e-05 0.00234804055002437
163 0.24956431740558 0.24801593221281 0.250406220165989 0.248784823820615 7.15814402724304e-06 0.000800018454724082 2.14744320817291e-05 0.00240005536417225
164 0.249555193660869 0.247971564729773 0.250415732278901 0.248757374893855 7.31779747831241e-06 0.000817715811671997 2.19533924349372e-05 0.00245314743501599
165 0.249545901324823 0.247926262985931 0.250425461191667 0.24872933693349 7.48080435927544e-06 0.000835778586662627 2.24424130778263e-05 0.00250733575998788
166 0.249536438381189 0.247880009768831 0.250435411664366 0.248700698580066 7.64722609561265e-06 0.000854213175291352 2.2941678286838e-05 0.00256263952587406
167 0.249526802842674 0.247832787655765 0.250445588552992 0.248671448310675 7.81712483833533e-06 0.000873026034634964 2.3451374515006e-05 0.00261907810390489
168 0.249516992754223 0.247784579015994 0.250455996810975 0.248641574439044 7.99056345449219e-06 0.000892223681486455 2.39716903634766e-05 0.00267667104445936
169 0.249507006196435 0.247735366013217 0.250466641490703 0.24861106511575 8.16760551664657e-06 0.000911812690457059 2.45028165499397e-05 0.00273543807137118
170 0.249496841289116 0.247685130608329 0.250477527745054 0.24857990832857 8.34831529128759e-06 0.00093179969194144 2.50449458738628e-05 0.00279539907582432
171 0.249486496194985 0.24763385456246 0.25048866082892 0.248548091902963 8.5327577261383e-06 0.000952191369941956 2.55982731784149e-05 0.00285657410982587
172 0.249475969123522 0.247581519440302 0.250500046100736 0.248515603502703 8.72099843632382e-06 0.000972994459747939 2.61629953089715e-05 0.00291898337924382
173 0.249465258334967 0.247528106613743 0.25051168902401 0.248482430630658 8.91310368936238e-06 0.000994215745465989 2.67393110680871e-05 0.00298264723639797
174 0.249454362144472 0.247473597265815 0.250523595168843 0.248448560629724 9.1091403889421e-06 0.0010158620573973 2.73274211668263e-05 0.00304758617219191
175 0.249443278926413 0.247417972394955 0.25053577021345 0.248413980683919 9.30917605744662e-06 0.00103794026925812 2.79275281723399e-05 0.00311382080777437
176 0.249432007118851 0.247361212819605 0.250548219945671 0.248378677819646 9.5132788171926e-06 0.00106045729523951 2.85398364515778e-05 0.00318137188571853
177 0.249420545228159 0.247303299183145 0.25056095026448 0.248342638907124 9.72151737034277e-06 0.00108342008690265 2.91645521110283e-05 0.00325026026070794
178 0.249408891833809 0.24724421195918 0.250573967181474 0.248305850662003 9.93396097745822e-06 0.00110683562990609 2.98018829323747e-05 0.00332050688971826
179 0.24939704559332 0.247183931457175 0.250587276822363 0.248268299647158 1.01506794346544e-05 0.00113071094056138 3.04520383039632e-05 0.00339213282168413
180 0.249385005247372 0.247122437828469 0.250600885428435 0.248229972274672 1.03717430493257e-05 0.00115505306221372 3.11152291479771e-05 0.00346515918664116
181 0.249372769625087 0.247059711072649 0.250614799358011 0.248190854808018 1.05972226144045e-05 0.00117986906144441 3.17916678432136e-05 0.00353960718433322
182 0.249360337649471 0.246995731044316 0.250629025087883 0.248150933364437 1.08271893811212e-05 0.00120516602409198 3.24815681433636e-05 0.00361549807227594
