"G" "X" "Y" "A" "D" "O"
221 0.388798436849834 1.14865753789003e-09 0.611201561998914 0.609573756493439 0.321016128427987
222 0.388717999430928 9.59505926589095e-10 0.611281999607393 0.609560165101974 0.321274514838776
223 0.388639490511535 8.01404151546766e-10 0.611360508685242 0.609546863991927 0.321526759962392
224 0.388562861956481 6.69273493261802e-10 0.611437137372724 0.60953384760728 0.321773014647811
225 0.38848806691293 5.58862565342841e-10 0.611511932526934 0.609521110459284 0.322013425834897
226 0.388415059772977 4.66613165781858e-10 0.611584939759344 0.609508647128382 0.322248136663602
227 0.388343796137444 3.89547764166426e-10 0.611656203472117 0.609496452265889 0.322477286579844
228 0.388274232780844 3.25175156713204e-10 0.611725766893235 0.60948452059543 0.322701011438193
229 0.38820632761747 2.71411372972716e-10 0.611793672110495 0.609472846914158 0.322919443601448
230 0.388140039668565 2.26513382904107e-10 0.6118599601044 0.609461426093774 0.323132712037211
231 0.388075329030545 1.89023544363892e-10 0.611924670779995 0.609450253081366 0.323340942411556
232 0.388012156844228 1.5772306040747e-10 0.611987842997685 0.609439322900064 0.323544257179881
233 0.387950485265043 1.31592992895987e-10 0.61204951460306 0.609428630649551 0.323742775675044
234 0.387890277434178 1.09781611953214e-10 0.612109722455786 0.609418171506419 0.32393661419285
235 0.38783149745064 9.15770567674077e-11 0.612168502457571 0.609407940724396 0.324125886074999
236 0.38777411034419 7.63844479393694e-11 0.612225889579248 0.609397933634451 0.324310701789556
237 0.387718082049128 6.37067299817114e-11 0.612281917887016 0.609388145644782 0.324491169009036
238 0.387663379378898 5.31286388434055e-11 0.612336620567849 0.609378572240705 0.324667392686172
239 0.387609970001474 4.43032869812569e-11 0.61239002995412 0.609369208984443 0.324839475127441
240 0.387557822415522 3.69409404865748e-11 0.612442177547451 0.60936005151484 0.325007516064433
241 0.38750690592729 3.07996315949579e-11 0.612493094041839 0.60935109554698 0.325171612723106
242 0.387457190628212 2.56773076598257e-11 0.61254280934605 0.60934233687175 0.325331859891024
243 0.387408647373203 2.1405266123928e-11 0.612591352605342 0.609333771355326 0.325488349982618
244 0.387361247759609 1.78426656651707e-11 0.612638752222506 0.609325394938605 0.325641173102552
245 0.387314964106811 1.48719377751454e-11 0.612685035878282 0.609317203636586 0.325790417107237
246 0.387269769436434 1.23949516031512e-11 0.612730230551141 0.609309193537694 0.325936167664569
247 0.387225637453174 1.03298088500239e-11 0.612774362536473 0.609301360803073 0.32607850831193
248 0.387182542526179 8.60816556835718e-12 0.612817457465192 0.609293701665828 0.326217520512526
249 0.387140459671017 7.17299454350255e-12 0.612859540321793 0.609286212430239 0.326353283710095
250 0.38709936453216 5.97671601788899e-12 0.612900635461849 0.609278889470945 0.326485875382053
251 0.387059233366007 4.97963632042302e-12 0.612940766629002 0.609271729232097 0.326615371091114
252 0.387020043024403 4.14864384300061e-12 0.612979956971438 0.609264728226485 0.326741844535442
253 0.386981770938654 3.45612007802674e-12 0.613018229057881 0.609257883034659 0.326865367597376
254 0.386944395104006 2.8790303548634e-12 0.613055604893108 0.609251190304008 0.326986010390773
255 0.386907894064587 2.39816470790482e-12 0.613092105933009 0.609244646747848 0.327103841307009
256 0.386872246898788 1.99750415784201e-12 0.61312775309921 0.609238249144477 0.327218927059692
257 0.386837433205074 1.6636917443501e-12 0.613162566793258 0.60923199433624 0.327331332728108
258 0.386803433088204 1.38559104178097e-12 0.613196566910407 0.609225879228562 0.327441121799455
259 0.386770227145856 1.15391772747865e-12 0.613229772852987 0.609219900788997 0.327548356209896
260 0.386737796455633 9.60932145561771e-13 0.613262203543403 0.60921405604626 0.327653096384466
261 0.386706122562452 8.00182793260692e-13 0.613293877436745 0.609208342089253 0.327755401275872
262 0.386675187466288 6.66292315667198e-13 0.613324812533045 0.609202756066103 0.327855328402214
263 0.386644973610268 5.54778981238898e-13 0.613355026389175 0.609197295183188 0.327952933883673
264 0.386615463869118 4.61907769131607e-13 0.613384536130418 0.609191956704166 0.328048272478173
265 0.38658664153792 3.84566167690327e-13 0.613413358461695 0.609186737949014 0.328141397616081
266 0.386558490321198 3.20160592415502e-13 0.613441509678481 0.609181636293061 0.328232361433938
267 0.386530994322319 2.6653000754677e-13 0.613469005677414 0.609176649166028 0.328321214807284
268 0.386504138033175 2.21873899918472e-13 0.613495861966603 0.609171774051081 0.328408007382579
269 0.386477906324169 1.84692225215355e-13 0.613522093675646 0.609167008483877 0.32849278760826
270 0.386452284434478 1.53735340479515e-13 0.613547715565368 0.609162350051627 0.328575602764956
271 0.386427257962585 1.27962265474014e-13 0.613572742037287 0.609157796392164 0.328656498994887
272 0.386402812857074 1.06505889983851e-13 0.61359718714282 0.609153345193015 0.328735521330467
273 0.386378935407682 8.86439732670095e-14 0.613621064592229 0.609148994190492 0.328812713722145
274 0.386355612236604 7.37749731271962e-14 0.613644387763322 0.609144741168775 0.328888119065494
275 0.386332830290021 6.13979017084695e-14 0.613667169709918 0.609140583959026 0.328961779227573
276 0.386310576829879 5.10955383275554e-14 0.61368942317007 0.609136520438494 0.3290337350726
277 0.386288839425885 4.2520440821381e-14 0.613711160574072 0.609132548529643 0.329104026486921
278 0.386267605947717 3.53832896370954e-14 0.613732394052247 0.609128666199282 0.329172692403335
279 0.386246864557455 2.94431762717808e-14 0.613753135442515 0.609124871457717 0.329239770824765
280 0.38622660370221 2.44995122200727e-14 0.613773396297765 0.609121162357901 0.329305298847308
281 0.38620681210696 2.03852884320145e-14 0.61379318789302 0.609117536994603 0.329369312682675
282 0.386187478767568 1.69614601925639e-14 0.613812521232415 0.60911399350359 0.329431847680044
283 0.386168592944003 1.41122697876893e-14 0.613831407055983 0.609110530060814 0.329492938347341
284 0.386150144153725 1.17413505550138e-14 0.613849855846263 0.609107144881619 0.329552618371961
285 0.386132122165267 9.76848196046398e-15 0.613867877834723 0.609103836219955 0.329610920640952
286 0.386114516991968 8.1268870568573e-15 0.613885483008024 0.6091006023676 0.329667877260671
287 0.386097318885887 6.76098178397626e-15 0.613902681114106 0.609097441653407 0.329723519575932
