"kD" "kA" "SR"
0.435 0.005 0.500000029837378
0.4375 0.005 0.500000028953741
0.44 0.005 0.500000028092293
0.4425 0.005 0.500000027252816
0.445 0.005 0.500000026435081
0.4475 0.005 0.500000025638848
0.45 0.005 0.500000024863869
0.4525 0.005 0.500000024109884
0.455 0.005 0.500000023376626
0.4575 0.005 0.500000022663818
0.46 0.005 0.500000021971177
0.4625 0.005 0.500000021298408
0.465 0.005 0.500000020645215
0.4675 0.005 0.500000020011289
0.47 0.005 0.500000019396318
0.4725 0.005 0.500000018799982
0.475 0.005 0.500000018221959
0.4775 0.005 0.500000017661917
0.48 0.005 0.500000017119522
0.4825 0.005 0.500000016594436
0.485 0.005 0.500000016086315
0.4875 0.005 0.500000015594815
0.49 0.005 0.500000015119583
0.4925 0.005 0.500000014660271
0.495 0.005 0.500000014216522
0.4975 0.005 0.500000013787981
0.5 0.005 0.500000013374291
0.0025 0.0075 0.500000008135911
0.005 0.0075 0.500000016068765
0.0075 0.0075 0.500000023800771
0.01 0.0075 0.500000031334139
0.0125 0.0075 0.500000038671084
0.015 0.0075 0.500000045813823
0.0175 0.0075 0.500000052764574
0.02 0.0075 0.50000005952556
0.0225 0.0075 0.500000066099005
0.025 0.0075 0.500000072487132
0.0275 0.0075 0.500000078692171
0.03 0.0075 0.500000084716348
0.0325 0.0075 0.500000090561894
0.035 0.0075 0.500000096231038
0.0375 0.0075 0.500000101726012
0.04 0.0075 0.500000107049048
0.0425 0.0075 0.500000112202376
0.045 0.0075 0.500000117188228
0.0475 0.0075 0.500000122008836
0.05 0.0075 0.50000012666643
0.0525 0.0075 0.50000013116324
0.055 0.0075 0.500000135501494
0.0575 0.0075 0.500000139683421
0.06 0.0075 0.500000143711247
0.0625 0.0075 0.500000147587193
0.065 0.0075 0.500000151313485
0.0675 0.0075 0.50000015489234
0.07 0.0075 0.500000158325977
0.0725 0.0075 0.500000161616608
0.075 0.0075 0.500000164766446
0.0775 0.0075 0.500000167777698
0.08 0.0075 0.500000170652569
0.0825 0.0075 0.500000173393258
0.085 0.0075 0.500000176001962
0.0875 0.0075 0.500000178480873
0.09 0.0075 0.500000180832177
0.0925 0.0075 0.500000183058057
0.095 0.0075 0.50000018516069
0.0975 0.0075 0.500000187142246
0.1 0.0075 0.500000189004892
0.1025 0.0075 0.500000190750788
0.105 0.0075 0.500000192382085
0.1075 0.0075 0.500000193900932
0.11 0.0075 0.500000195309468
0.1125 0.0075 0.500000196609827
0.115 0.0075 0.500000197804132
0.1175 0.0075 0.500000198894502
0.12 0.0075 0.500000199883048
0.1225 0.0075 0.50000020077187
0.125 0.0075 0.500000201563062
0.1275 0.0075 0.500000202258708
0.13 0.0075 0.500000202860885
0.1325 0.0075 0.500000203371656
0.135 0.0075 0.500000203793081
0.1375 0.0075 0.500000204127205
0.14 0.0075 0.500000204376066
0.1425 0.0075 0.500000204541689
