"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D1O" "A2D1O" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y" "A1D2O" "A2D2O"
93 0.275080209945451 0.00600666813362922 0.000114303718221079 3.1167423427876e-06 0.333856772299464 0.0068119942154741 0.000393540665816716 0.0941381930705379 1.98225751125336e-07 3.3813584398176e-05 0.00118042377169902 0.28238053592913
94 0.27498792222501 0.00572001149034736 9.30350068720287e-05 2.41017950657109e-06 0.333893289538466 0.00649657403066979 0.00039698106993802 0.094304708312344 1.62925178300004e-07 2.76178427688124e-05 0.00119078028463576 0.282886318921559
95 0.274906021605022 0.00545392408337985 7.56985012597486e-05 1.86520433686733e-06 0.333927764912019 0.00620352467533141 0.000400257245163185 0.0944575430094996 1.33788933329202e-07 2.25429630631074e-05 0.00120063794655623 0.283349932050325
96 0.274833380742244 0.00520693821189737 6.15735638082203e-05 1.44464683385355e-06 0.333960480503799 0.00593129806271687 0.000403375311374014 0.094597845755801 1.09769705225726e-07 1.83898451797525e-05 0.00121001616441682 0.283775021468469
97 0.274768989631436 0.00497768986092616 5.00700229592598e-05 1.11990898882655e-06 0.33399164833558 0.00567844614782656 0.000406341345776584 0.0947266676772942 8.99911359967521e-08 1.49938139172843e-05 0.00121893404619376 0.284164906290648
98 0.274711944163992 0.004764911510824 4.07049587595013e-05 8.68990148358963e-07 0.334021426845683 0.00544361587775777 0.000409161358839859 0.0948449705543689 7.37216061056908e-08 1.22189099906619e-05 0.00122741035491347 0.284522608700753
99 0.274661435666172 0.00456742542558984 3.30835157766347e-05 6.74964830424832e-07 0.334049933949715 0.00522554408082006 0.000411841273544124 0.0949536343257296 6.03516232011302e-08 9.95306417444394e-06 0.00123546346900917 0.284850881317698
100 0.274616741359432 0.00438413739188892 2.68830712661442e-05 5.24810406155755e-07 0.334077257321905 0.00502305238585453 0.000414386907668378 0.0950534640071435 4.93744253440492e-08 8.10403503295722e-06 0.00124311134857979 0.285152232038011
101 0.274577215682893 0.00421403088140187 2.18401917035362e-05 4.08504920257478e-07 0.334103462427428 0.00483504223842922 0.000416803958853332 0.0951451960594529 4.03694223720634e-08 6.59600206875776e-06 0.00125037150713762 0.285428946567296
102 0.274542282417266 0.00405616161009504 1.77399014005536e-05 3.1833322589131e-07 0.334128598744268 0.00466049006138447 0.000419097992186588 0.0952295042409033 3.29881212270862e-08 5.36671792507164e-06 0.00125726098843854 0.285683108842481
103 0.2745114275502 0.00390965246915969 1.4406864429192e-05 2.48353585110361e-07 0.334152704535398 0.00449844259240924 0.000421274430068346 0.0953070049786366 2.69422089787141e-08 4.36513486457651e-06 0.00126379634799606 0.285916619534578
104 0.274484192824614 0.00377368880360782 1.16981469918395e-05 1.93987764318195e-07 0.334175810466784 0.00434801242000318 0.000423338544128978 0.0953782622934296 2.19934979484275e-08 3.54943170474881e-06 0.00126999363888899 0.2861312128084
105 0.274460169913931 0.00364751401579158 9.49728315124955e-06 1.51706100906901e-07 0.334197942312119 0.00420837373056959 0.000425295448983636 0.0954437923106009 1.79454686960772e-08 2.88537748154817e-06 0.00127586840148221 0.286328471502027
106 0.274438995170821 0.00353042547239529 7.70941382372453e-06 1.18785561556753e-07 0.334219122939761 0.00407875827289526 0.000427150097623306 0.0955040673885624 1.46361772535565e-08 2.3449772233584e-06 0.00128143565669266 0.286509840875399
107 0.274420344899218 0.00342177069471062 6.2573083753757e-06 9.31238734935154e-08 0.334239373739828 0.00395845154143313 0.000428907278256106 0.0955595198948841 1.19323219671047e-08 1.90535331448452e-06 0.00128670990244635 0.286676641064396
108 0.274403931102501 0.00332094381322863 5.07811114733673e-06 7.30967171575367e-08 0.334258715618392 0.0038467891762409 0.000430571612426847 0.0956105456580163 9.72429209682849e-09 1.54782303574342e-06 0.00129170511298844 0.2868300783645
109 0.274389497664063 0.00322738226875956 4.12068274426582e-06 5.74479809369584e-08 0.33427716966034 0.00374315357485302 0.000432147554256818 0.0956575071210578 7.92204464555133e-09 1.25713904648549e-06 0.00129643474072581 0.286971255456608
110 0.274376816919712 0.00314056374341307 3.34342880027789e-06 4.52053980160113e-08 0.334294757541727 0.00364697070954517 0.000433639390659216 0.0957007362221918 6.45167766341198e-09 1.02086489462341e-06 0.00130091172029998 0.287101180676973
