"kD" "kA" "z1vector" "z2vector" "z3vector" "z4vector" "z5vector" "z6vector" "z7vector" "z8vector" "z9vector"
0.32 0.03 0.5 0.5 0.5 0.50000003553212 0.500007930146515 0.503853109503525 0.500026588842074 0.502767317547553 0.514185698425362
0.33 0.03 0.5 0.5 0.5 0.500000033805719 0.500012467486748 0.504772299368253 0.500027857672932 0.503480731212757 0.514359333586922
0.34 0.03 0.5 0.5 0.5 0.500000032061171 0.500020022228188 0.505625302451073 0.500029175581592 0.504184871443173 0.514506823802274
0.35 0.03 0.5 0.5 0.5 0.500000030309268 0.500032791966602 0.506365632465976 0.500030546527169 0.504832711788789 0.514634658316895
0.36 0.03 0.5 0.5 0.5 0.500000028560227 0.500054642847973 0.506982038561006 0.500031974921516 0.505403323920762 0.514747567700349
0.37 0.03 0.5 0.5 0.5 0.500000026823655 0.500092321288376 0.50748660270583 0.500033465692751 0.505898563777941 0.514848961081491
0.38 0.03 0.5 0.5 0.5 0.500000025108528 0.50015730743352 0.507900883486183 0.500035024359201 0.506332021935743 0.514941277336263
0.39 0.03 0.5 0.5 0.5 0.500000023423158 0.500268093126168 0.508246853015249 0.500036657115718 0.506719575066617 0.515026257698284
0.4 0.03 0.5 0.5 0.5 0.500000021775173 0.500451390977491 0.508542884928847 0.500038370934721 0.507074589589675 0.515105150994785
0.41 0.03 0.5 0.5 0.5 0.500000020171498 0.500738234478958 0.5088028528205 0.500040173684821 0.507406674719291 0.515178863864955
0.42 0.03 0.5 0.5 0.5 0.500000018618337 0.501149653849975 0.509036622616031 0.500042074270513 0.5077221270838 0.51524806787608
0.43 0.03 0.5 0.5 0.5 0.500000017121165 0.501674860895907 0.509250956089561 0.50004408279715 0.508024842713502 0.515313274095428
0.44 0.03 0.5 0.5 0.5 0.500000015684716 0.502263234997429 0.509450388031524 0.500046210766399 0.508317153770778 0.515374883901887
0.45 0.03 0.5 0.5 0.5 0.500000014312985 0.502848525744264 0.509637931623931 0.500048471308511 0.508600439762636 0.515433222979266
0.46 0.03 0.5 0.5 0.5 0.500000013009229 0.503384446647019 0.50981559537704 0.500050879459195 0.508875525922158 0.515488563740194
0.47 0.03 0.5 0.5 0.5 0.500000011775974 0.503857112549482 0.50998474099106 0.500053452490689 0.509142925739518 0.51554113999663
0.48 0.03 0.5 0.5 0.5 0.500000010615034 0.504273953431115 0.510146321254568 0.500056210308841 0.509402982196743 0.515591156554147
0.49 0.03 0.5 0.5 0.5 0.500000009527523 0.504649014325467 0.510301033195486 0.500059175930781 0.509655947505562 0.515638795547955
0.5 0.03 0.5 0.5 0.5 0.500000008513886 0.504994875813656 0.510449414029827 0.50006237606118 0.509902027036428 0.515684220718685
0.01 0.04 0.5 0.5 0.5 0.500000006087279 0.500000006243369 0.500000007078915 0.500000586610491 0.500000611627649 0.50000076680255
0.02 0.04 0.5 0.5 0.5 0.50000001174179 0.5000000125261 0.500000017981074 0.500001185332418 0.500001288005174 0.500002064399318
0.03 0.04 0.5 0.5 0.5 0.500000016975214 0.500000018924698 0.500000035166889 0.500001796831387 0.5000020449307 0.50000428009249
0.04 0.04 0.5 0.5 0.5 0.500000021799463 0.500000025533747 0.500000062674597 0.500002421828194 0.500002903038876 0.500008085709405
0.05 0.04 0.5 0.5 0.5 0.500000026226663 0.500000032472108 0.50000010716085 0.500003061104428 0.500003889617705 0.50001465026038
0.06 0.04 0.5 0.5 0.5 0.500000030269147 0.50000003989166 0.500000179652013 0.500003715508724 0.500005041234759 0.500026014041562
0.07 0.04 0.5 0.5 0.5 0.500000033939438 0.500000047989769 0.500000298510847 0.500004385963777 0.500006407588488 0.500045746250157
0.08 0.04 0.5 0.5 0.5 0.500000037250236 0.500000057027317 0.500000494496597 0.500005073474209 0.500008057240888 0.500080094292156
0.09 0.04 0.5 0.5 0.5 0.500000040214406 0.500000067355138 0.500000819457228 0.500005779135408 0.500010086282232 0.500139962436526
0.1 0.04 0.5 0.5 0.5 0.500000042844957 0.500000079453353 0.500001361370517 0.500006504143494 0.500012631633767 0.500244209839156
0.11 0.04 0.5 0.5 0.5 0.500000045155027 0.500000093990739 0.500002270564704 0.50000724980655 0.500015891795825 0.500424792991609
0.12 0.04 0.5 0.5 0.5 0.50000004715787 0.500000111915738 0.500003805765198 0.500008017557325 0.500020159722116 0.500733704844635
0.13 0.04 0.5 0.5 0.5 0.50000004886683 0.500000134598157 0.500006415528714 0.500008808967618 0.500025875716591 0.501249272890137
0.14 0.04 0.5 0.5 0.5 0.500000050295326 0.500000164053283 0.500010883168266 0.500009625764611 0.500033713806261 0.502073527302792
0.15 0.04 0.5 0.5 0.5 0.500000051456831 0.50000020330218 0.500018585914491 0.500010469849433 0.500044724664794 0.503305012619455
0.16 0.04 0.5 0.5 0.5 0.500000052364851 0.500000256960429 0.500031959328294 0.500011343318327 0.500060574721197 0.504977915517541
0.17 0.04 0.5 0.5 0.5 0.500000053032902 0.500000332216229 0.500055327148308 0.50001224848683 0.500083949018947 0.506999784156061
0.18 0.04 0.5 0.5 0.5 0.50000005347449 0.500000440482702 0.500096366641374 0.500013187917455 0.500119230299574 0.509160123119907
0.19 0.04 0.5 0.5 0.5 0.500000053703085 0.500000600236277 0.500168622897329 0.500014164451458 0.500173631362055 0.511226303516854
0.2 0.04 0.5 0.5 0.5 0.500000053732098 0.500000841975015 0.500295563007795 0.500015181245394 0.500259024984182 0.513040135958415
0.21 0.04 0.5 0.5 0.5 0.500000053574858 0.500001217025966 0.500516273050821 0.500016241813265 0.500394696180268 0.514542660044045
0.22 0.04 0.5 0.5 0.5 0.500000053244584 0.500001813449524 0.500890955538095 0.500017350075268 0.500610844053614 0.515744516131414
0.23 0.04 0.5 0.5 0.5 0.500000052754364 0.500002785225215 0.501499160840339 0.500018510414308 0.500951200888888 0.516688190783376
