"k" "c" "DF"
0.41 0.52 0.0241006707000869
0.415 0.52 0.0238439337786048
0.42 0.52 0.0235928627532128
0.425 0.52 0.023347272446604
0.43 0.52 0.0231069856579421
0.435 0.52 0.0228718327390714
0.44 0.52 0.0226416511971019
0.445 0.52 0.0224162853216005
0.45 0.52 0.022195585834703
0.455 0.52 0.0219794095625722
0.46 0.52 0.0217676191267258
0.465 0.52 0.0215600826538698
0.47 0.52 0.0213566735029656
0.475 0.52 0.0211572700083593
0.48 0.52 0.0209617552378839
0.485 0.52 0.0207700167649308
0.49 0.52 0.0205819464535618
0.495 0.52 0.0203974402557978
0.5 0.52 0.0202163980202914
0.005 0.525 4.09468951658232e-05
0.01 0.525 5.18501398321216e-05
0.015 0.525 6.60221328186546e-05
0.02 0.525 8.44941339291476e-05
0.025 0.525 0.00010863862225109
0.03 0.525 0.000140286776838513
0.035 0.525 0.000181887583126414
0.04 0.525 0.000236723423043055
0.045 0.525 0.000309202086080216
0.05 0.525 0.000405251630000246
0.055 0.525 0.000532852448799236
0.06 0.525 0.00070274982201648
0.065 0.525 0.000929398590814752
0.07 0.525 0.00123219565418819
0.075 0.525 0.00163704758822971
0.08 0.525 0.00217828396391468
0.085 0.525 0.00290083330042005
0.09 0.525 0.0038623819818879
0.095 0.525 0.00513487489808037
0.1 0.525 0.00680413693943467
0.105 0.525 0.00896563357195545
0.11 0.525 0.011713746935006
0.115 0.525 0.0151222158217871
0.12 0.525 0.0192158626194087
0.125 0.525 0.0239393146045284
0.13 0.525 0.0291355287199692
0.135 0.525 0.0345498707434377
0.14 0.525 0.039867728462777
0.145 0.525 0.0447762311542248
0.15 0.525 0.0490258907564999
0.155 0.525 0.0524684975160347
0.16 0.525 0.0550623100880652
0.165 0.525 0.0568516967354512
0.17 0.525 0.0579356315349266
0.175 0.525 0.0584374457771981
0.18 0.525 0.0584823067380359
0.185 0.525 0.0581836711737684
0.19 0.525 0.0576371055592521
0.195 0.525 0.0569190309656256
0.2 0.525 0.0560882157296084
0.205 0.525 0.0551884699681379
0.21 0.525 0.0542516045332581
0.215 0.525 0.0533001678017334
0.22 0.525 0.0523497599384024
0.225 0.525 0.0514108846329982
0.23 0.525 0.0504903763777762
0.235 0.525 0.0495924713263318
0.24 0.525 0.0487195944478925
0.245 0.525 0.0478729287386309
0.25 0.525 0.047052821183585
0.255 0.525 0.0462590687336869
0.26 0.525 0.0454911174062896
0.265 0.525 0.0447481992579136
0.27 0.525 0.0440294254065053
0.275 0.525 0.0433338482700231
0.28 0.525 0.0426605024498039
0.285 0.525 0.0420084309430822
0.29 0.525 0.0413767013807706
0.295 0.525 0.0407644155614599
0.3 0.525 0.0401707145407037
0.305 0.525 0.0395947808223285
0.31 0.525 0.0390358387011701
0.315 0.525 0.0384931534620901
0.32 0.525 0.0379660299033923
0.325 0.525 0.0374538104913529
0.33 0.525 0.036955873343548
0.335 0.525 0.0364716301656245
0.34 0.525 0.0360005242177955
0.345 0.525 0.0355420283556386
0.35 0.525 0.0350956431693298
0.355 0.525 0.0346608952324543
0.36 0.525 0.0342373354634912
0.365 0.525 0.0338245375982375
0.37 0.525 0.0334220967686807
0.375 0.525 0.0330296281823848
0.38 0.525 0.0326467658958315
0.385 0.525 0.0322731616750291
0.39 0.525 0.0319084839368566
0.395 0.525 0.0315524167649352
0.4 0.525 0.0312046589942093
0.405 0.525 0.030864923358844
0.41 0.525 0.0305329356984729
0.415 0.525 0.0302084342182326
0.42 0.525 0.0298911687984067
0.425 0.525 0.0295809003498597
0.43 0.525 0.0292774002117544
0.435 0.525 0.0289804495883647
0.44 0.525 0.0286898390220444
0.445 0.525 0.0284053678996797
0.45 0.525 0.0281268439901611
0.455 0.525 0.0278540830106249
0.46 0.525 0.0275869082193929
0.465 0.525 0.0273251500337119
0.47 0.525 0.0270686456705438
0.475 0.525 0.026817238808801
0.48 0.525 0.0265707792715413
0.485 0.525 0.0263291227267624
0.49 0.525 0.0260921304055345
0.495 0.525 0.0258596688363071
0.5 0.525 0.0256316095943182
0.005 0.53 4.36322288575028e-05
0.01 0.53 5.80263603160424e-05
0.015 0.53 7.77092155677735e-05
0.02 0.53 0.000104716609790818
0.025 0.53 0.000141902180042702
0.03 0.53 0.000193277584182227
0.035 0.53 0.000264497467990389
0.04 0.53 0.000363550616472352
0.045 0.53 0.000501742985188182
0.05 0.53 0.000695089462874795
0.055 0.53 0.000966267465673911
0.06 0.53 0.00134731875829097
0.065 0.53 0.00188329369714229
0.07 0.53 0.00263696149449053
0.075 0.53 0.00369445120582591
0.08 0.53 0.00517104078184964
0.085 0.53 0.00721497982388357
0.09 0.53 0.0100049620929512
0.095 0.53 0.0137339764377423
0.1 0.53 0.0185708077134327
0.105 0.53 0.0245952995713846
0.11 0.53 0.0317201124466501
0.115 0.53 0.0396365720304974
0.12 0.53 0.0478325861124259
0.125 0.53 0.0556996602063035
0.13 0.53 0.062685863587687
0.135 0.53 0.0684185363162591
0.14 0.53 0.0727475657706096
0.145 0.53 0.0757144312329772
0.15 0.53 0.0774845356042643
0.155 0.53 0.0782788289433221
0.16 0.53 0.0783234680292293
0.165 0.53 0.0778208473684041
0.17 0.53 0.0769375445300752
0.175 0.53 0.075802918425887
0.18 0.53 0.0745131550488682
0.185 0.53 0.0731373267223657
0.19 0.53 0.0717235558384633
0.195 0.53 0.0703044072890426
0.2 0.53 0.0689012337478205
0.205 0.53 0.0675274997728035
0.21 0.53 0.0661912350218799
0.215 0.53 0.0648967973942844
0.22 0.53 0.0636461141660696
0.225 0.53 0.0624395406781616
0.23 0.53 0.0612764453402019
0.235 0.53 0.0601556023461755
0.24 0.53 0.0590754513244623
0.245 0.53 0.0580342661199047
0.25 0.53 0.0570302622835889
0.255 0.53 0.0560616637174818
0.26 0.53 0.0551267424412415
0.265 0.53 0.0542238409172438
0.27 0.53 0.0533513832409379
0.275 0.53 0.0525078793671601
0.28 0.53 0.0516919250992329
0.285 0.53 0.0509021996016686
0.29 0.53 0.0501374615572895
0.295 0.53 0.0493965446698698
0.3 0.53 0.0486783529410799
0.305 0.53 0.0479818559758728
0.31 0.53 0.0473060844599732
0.315 0.53 0.046650125884298
0.32 0.53 0.0460131205491604
0.325 0.53 0.0453942578561324
0.33 0.53 0.0447927728812023
0.335 0.53 0.0442079432152057
0.34 0.53 0.0436390860538944
0.345 0.53 0.0430855555187226
0.35 0.53 0.0425467401895538
0.355 0.53 0.042022060831297
0.36 0.53 0.0415109682976817
0.365 0.53 0.0410129415966982
0.37 0.53 0.0405274861035737
0.375 0.53 0.0400541319084382
